Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Alpha,CB 28 X,4753217,34,36.6,32.9 - 38.4,N/A,N/A,N/A,N/A,11.7,2.5,Yes
Alpha,CD 28 C,4753233,31.635,28.5,25.7 - 29.9,N/A,N/A,N/A,N/A,7.55,0.52,If Ratio is greater than 0.0003
Alpha,CD 28 X,4753237,31.857,28.7,25.8 - 30.1,N/A,N/A,N/A,N/A,8.83,0.24,If Ratio is greater than 0.0003
Alpha,InTec 24 X,4753245,27.528,24.8,22.3 - 26.0,9.4 (+/-0.25),8.6 (+/- 0.25),0.003,200,6.48,0.17,If Ratio is greater than 0.0003
Alpha,InTec 28 X,4753246,31.413,28.3,25.5 - 29.7,9.45 (+/-025),8.6 (+/-0.25),0.003,200,N/A,N/A,If Ratio is greater than 0.0003
Ariston,E-Combi 30,4711663,33.3,30,27.0 - 31.5,9.0 (+/-0.2),9.0 (+/-0.2),0.004,100,N/A,N/A,Yes
Atag,iC 24,4731019,26.64,24,21.6 - 25.2,9.0 (+0.6/-0.4),Above 7.6 (must be 0.3 lower than max co2 reading),0.004,N/A,N/A,N/A,Yes
Atag,iC 28,4731021,30.303,27.3,24.6 - 28.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC 36,4731026,39.294,35.4,31.9 - 37.2,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 27,4731027,31.413,28.3,25.5 - 29.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 35,4731029,40.293,36.3,32.7 - 38.1,9.0 (+0.6/-0.4),Above 7.6,1.004,N/A,N/A,N/A,Yes
Baxi,50HE Plus,4107741,16.88,15.20720721,13.7 - 16.0,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,80 HE Plus,4107742,24.5,22.07207207,19.9 - 23.2,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Assure 500 Combi  2 30,4707760,34.299,30.9,27.8 - 32.4,Between 8.8 and 9.4,Between 8.1 and 8.6,0.004,350,N/A,N/A,Yes
Baxi,Assure 500 Combi 2 24,4707759,27.417,24.7,22.2 - 25.9,Between 8.8 and 9.4,Between 8.1 and 8.6,0.004,350,N/A,N/A,Yes
Baxi,Assure Combi 30,4707743,34.299,30.9,27.8 - 32.4,9.0 (+0.3/-0.2),8.5 (+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Baxi,Bermuda 401,4107749,17.649,15.9,14.3 - 16.7,N/A,N/A,N/A,N/A,18.2,3.2,Yes
Baxi,Bermuda 45/4 M,4407771,24.087,21.7,19.5 - 22.8,N/A,N/A,N/A,N/A,17,10.5,Yes
Baxi,Combi 105 E,4707508,34.3,30.9009009,27.8 - 32.4,N/A,N/A,N/A,N/A,13.4 (+/-0.5),1.8 (+/-0.2),Yes
Baxi,Combi 624,4707728,28.638,25.8,23.2 - 27.1,9.0 (+0.3/-0.2),8.5 (+0.1/-0.4),1.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Combi 80 E,4707506,26.3,23.69369369,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2 (+/-0.5),2.5 (+/-0.2),Yes
Baxi,Combi 80 Eco,4707505,26.3,23.69369369,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2 (+/-0.5),2.5 (+/-0.2),Refer To M.I's
Baxi,Combi Instant 105 HE,4707519,33.855,30.5,27.5 - 32.0,N/A,N/A,N/A,N/A,12.1 (+/-0.5),2.1(+/-0.2),Yes
Baxi,Combi Instant 80 HE,4707517,27.528,24.8,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2 (+/-0.5),2.0 (+/-0.2),Yes
Baxi,Duo-tec 2 Combi 24 GA,4707554,27.417,24.7,22.2 - 25.9,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 2 Combi 28 GA,4707555,31.08,28,25.2 - 29.4,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 2 Combi 33 GA,4707556,37.74,34,30.6 - 35.7,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 2 Combi 40 GA,4707557,45.732,41.2,37.1 - 43.3,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 24 Combi ErP,4707596,27.4,24.68468468,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 28 Combi ErP,4707597,32.1,28.91891892,26.0 - 30.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec 33 Combi ErP,4707599,37.8,34.05405405,30.6 - 35.8,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yearly Strip Service Required
Baxi,Duo-tec Combi 24 HE,4707523,27.417,24.7,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 28 HE,4707525,32.079,28.9,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 33 HE,4707524,37.74,34,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Duo-tec Combi 40 HE A,4707538,45.732,41.2,37.1 - 43.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,DuotecCombi 24 HE A,4707535,27.417,24.7,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,DuotecCombi28HE A,4707536,32.079,28.9,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,EcoBlue 15 ErP,4107024,20.5128,18.48,16.6 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,MainEco Combi 28,4707594,31.302,28.2,25.4 - 29.6,9.15% - 9.50%,8.7% - 9.05%,0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Maxflow Combi 80,4707507,32.4009,29.19,26.3 - 30.6,N/A,N/A,N/A,N/A,10.6 (+/-0.5),1.9 (+/-0.2),Refer To M.I's
Baxi,Megaflo System 15 HE,4107552,17.094,15.4,13.9 - 16.2,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Refer To M.I's
Baxi,Neta-tec Combi 24 GA,4707551,27.417,24.7,22.2 - 25.9,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Combi 28 GA,4707552,32.079,28.9,26.0 - 30.3,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Neta-tec Combi 33 GA,4707553,37.74,34,30.6 - 35.7,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Baxi,Solo 15 HE,4107546,16.88,15.2,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 18 HE A,4107567,20.18,18.18,16.4 - 19.1,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Solo 3 PFL 30,4107520,12.1989,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,16.0(+/-0.5),6.4(+/-0.2),Yes
Baxi,Solo 3 PFL 40,4107521,16.2615,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,16.0(+/-0.5),6.4(+/-0.2),Yes
Baxi,Solo 2 30PF ,4107771,12.1989,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,16.0(+/-0.5),8.0(+/-0.5),Yes
Baxi,Solo 2 50PF,4107773,20.3352,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,16.0(+/-0.5),11.5(+/-0.5),Yes
Baxi,Solo 2 40PF,4107772,16.2615,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,16.0(+/-0.5),10(+/-0.5),Yes
Baxi,System 100 HE Plus,4107543,37.4736,33.76,30.4 - 35.4,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Baxi,WM 552,4107710,23.532,21.2,19.1 - 22.3,,N/A,N/A,N/A,17.75,7.5,Yes
Glow-worm,12 hxi,4104773,13.542,12.2,11.0 - 12.8,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,15hxi,4104774,16.9386,15.26,13.7 - 16.0,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,18 hxi,4107463,20.979,18.9,17.0 - 19.8,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,18sxi,4104772,20.979,18.9,17.0 - 19.8,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,24 cxi,4704723,26.7732,24.12,21.7 - 25.3,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,30 cxi,4704724,33.4665,30.15,27.1 - 31.7,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom 2 35 cxi,4701912,39.627,35.7,32.1 - 37.5,9.2(+/-0.3),8.9(+/-0.2),0.004,N/A,N/A,N/A,Yes
Glow-worm,38 cxi,4704727,42.6462,38.42,34.6 - 40.3,9.3(+/-1.0),9.3(+/-1.0),0.004,N/A,N/A,N/A,Yes
Glow-worm,45/2 BBU,4431539,17.8,16.03,14.4 - 16.8,N/A,N/A,N/A,N/A,15.2,11.4,Yes
Glow-worm,Betacom 2 28,4701917,31.08,28,25.2 - 29.4,9.2(+/-0.3),8.9(+/-0.3),0.004,N/A,N/A,N/A,Refer To M.I's
Glow-worm,Economy Plus 30B,4131901,10.99,9.9,8.9 - 10.4,N/A,N/A,N/A,N/A,10.5,4.7,Yes
Glow-worm,Economy Plus 30C,4131937,10.99,9.9,8.9 - 10.4,N/A,N/A,N/A,N/A,14,10.3,Yes
Glow-worm,Flexicom 12hx,4131528,13.431,12.1,10.9 - 12.7,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 15hx,4131529,16.761,15.1,13.6 - 15.9,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 18hx,4131542,20.202,18.2,16.4 - 19.1,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 18sx,4131572,20.202,18.2,16.4 - 19.1,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 24cx,4704733,28.305,25.5,23.0 - 26.8,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
